source,target,http_code,notes
/sample-handling-weighing-plating-compound-library-management.html,/sample-handling-weighing-plating-compound-library-management/,301,sample-handling-weighing-plating-compound-library-management
/compound-management-and-acquisition.html,/compound-management-and-acquisition/,301,compound-management-and-acquisition
/custom-synthesis.html,/custom-synthesis/,301,custom-synthesis
/cheminformatics-services.html,/cheminformatics-services/,301,cheminformatics-services
/molecular-diversity-and-similarity-analysis.html,/molecular-diversity-and-similarity-analysis/,301,molecular-diversity-and-similarity-analysis
/category/1.html,/category/1/,301,Ched-Demo
/software/hybot/hybot-manual.html,/software/hybot/hybot-manual/,301,hybot-manual
/about-timtec.html,/about-timtec/,301,about-timtec
/contact-us.html,/contact-us/,301,contact-us
/our-customers.html,/our-customers/,301,our-customers
/partners.html,/partners/,301,partners
/timtec-network.html,/timtec-network/,301,timtec-network
/grants-and-funding-web-resources.html,/grants-and-funding-web-resources/,301,grants-and-funding-web-resources
/terms-of-sale.html,/terms-of-sale/,301,terms-of-sale
/faqs/general/faqs.html,/faqs/general/faqs/,301,faqs
/site-map-1.html,/site-map-1/,301,Site Map
/structure-search.html,/structure-search/,301,Structure Search
/news/blog/httpswwwtimtecorg.html,/news/blog/httpswwwtimtecorg/,301,httpswwwtimtecorg
/news/blog/httpswwwncbinlmnihgovpmcarticlespmc9657696.html,/news/blog/httpswwwncbinlmnihgovpmcarticlespmc9657696/,301,httpswwwncbinlmnihgovpmcarticlespmc9657696
/news/blog/new-florida-location.html,/news/blog/new-florida-location/,301,new-florida-location
/news/blog/natural-product-library-is-now-composed-of-800-pure-natural-compounds-npl-800.html,/news/blog/natural-product-library-is-now-composed-of-800-pure-natural-compounds-npl-800/,301,natural-product-library-is-now-composed-of-800-pure-natural-compounds-npl-800
/news/blog/privileged-structures-mesoionic-aminomorpholines-and-dihydropyridines.html,/news/blog/privileged-structures-mesoionic-aminomorpholines-and-dihydropyridines/,301,privileged-structures-mesoionic-aminomorpholines-and-dihydropyridines
/news/new-products/natural-product-library-is-now-composed-of-800-pure-natural-compounds-npl-800.html,/news/new-products/natural-product-library-is-now-composed-of-800-pure-natural-compounds-npl-800/,301,natural-product-library-is-now-composed-of-800-pure-natural-compounds-npl-800
/news/new-products/ancient-chinese-cures-translate-into-modern-western-medicines.html,/news/new-products/ancient-chinese-cures-translate-into-modern-western-medicines/,301,ancient-chinese-cures-translate-into-modern-western-medicines
/acticom-collection-of-active-compounds.html,/acticom-collection-of-active-compounds/,301,acticom-collection-of-active-compounds
/acticom-collection-of-active-compounds.html,/acticom-collection-of-active-compounds/,301,acticom-collection-of-active-compounds
/news/new-products/acticom-480-active-compounds-with-known-activities.html,/news/new-products/acticom-480-active-compounds-with-known-activities/,301,acticom-480-active-compounds-with-known-activities
/news/new-products/inhibitors-of-anthrax-lf-and-activators-of-neutrophils.html,/news/new-products/inhibitors-of-anthrax-lf-and-activators-of-neutrophils/,301,inhibitors-of-anthrax-lf-and-activators-of-neutrophils
/lost-password.html,/lost-password/,301,Forgot your Password?
/lost-user-name.html,/lost-user-name/,301,Forgot your Username?
/apexscreen-compound-library.html,/apexscreen-compound-library/,301,apexscreen-compound-library
/terms-of-sale.html,/terms-of-sale/,301,terms-of-sale
/phocadownload.html,/phocadownload/,301,"TimTec Compound Libraries for Screening, Chemical Building Blocks"
/category/1-hts-compounds-for-screening.html,/category/1-hts-compounds-for-screening/,301,Download Databases
/category/2-bb-build-blocks.html,/category/2-bb-build-blocks/,301,Download Databases
/category/3-library-collections.html,/category/3-library-collections/,301,Download Databases
/screening-compound-libraries/print.html,/screening-compound-libraries/print/,301,Untitled
/o-glcnac-transferase-inhibitors.html,/o-glcnac-transferase-inhibitors/,301,o-glcnac-transferase-inhibitors
/inhibitors-of-anthrax-lf.html,/inhibitors-of-anthrax-lf/,301,inhibitors-of-anthrax-lf
/news/blog/how-to-select-compound-collections-for-screening.html,/news/blog/how-to-select-compound-collections-for-screening/,301,how-to-select-compound-collections-for-screening
/targeted/print.html,/targeted/print/,301,Untitled
/actitarg-cns/print.html,/actitarg-cns/print/,301,Untitled
/gpcr-ligands-actitarg-g-library/print.html,/gpcr-ligands-actitarg-g-library/print/,301,Untitled
/actitarg-i-potassium-channel-modulators.html,/actitarg-i-potassium-channel-modulators/,301,actitarg-i-potassium-channel-modulators
/kinase-modulators-actitarg-k-library/print.html,/kinase-modulators-actitarg-k-library/print/,301,Untitled
